"","NAME","YEAR","TOTAL_POP"
"147","GOA",2005,1347668
"148","GUJARAT",2005,50671017
"149","HARYANA",2005,21144564
"150","HIMACHAL PRADESH",2005,6077900
"151","JAMMU & KASHMIR",2005,10143700
"152","JHARKHAND",2005,26945829
"153","KARNATAKA",2005,52850562
"154","KERALA",2005,31841374
"155","LAKSHADWEEP",2005,60650
"156","MADHYA PRADESH",2005,60348023
"157","MAHARASHTRA",2005,96878627
"158","MANIPUR",2005,2166788
"159","MEGHALAYA",2005,2318822
"160","MIZORAM",2005,888573
"161","NAGALAND",2005,1990036
"162","DELHI",2005,13850507
"163","ODISHA",2005,36804660
"164","PUDUCHERRY",2005,974345
"165","PUNJAB",2005,24358999
"166","RAJASTHAN",2005,56507188
"167","SIKKIM",2005,540851
"168","TAMIL NADU",2005,62405679
"169","TRIPURA",2005,3199203
"170","UTTAR PRADESH",2005,166197921
"171","WEST BENGAL",2005,80176197
"172","ANDAMAN & NICOBAR ISLANDS",2006,356152
"173","ANDHRA PRADESH",2006,76210007
"174","ARUNACHAL PRADESH",2006,1097968
"175","ASSAM",2006,26655528
"176","BIHAR",2006,82998509
"177","CHANDIGARH",2006,900635
"178","CHHATTISGARH",2006,20833803
"179","DADRA & NAGAR HAVELI",2006,220490
"180","DAMAN & DIU",2006,158204
"181","GOA",2006,1347668
"182","GUJARAT",2006,50671017
"183","HARYANA",2006,21144564
"184","HIMACHAL PRADESH",2006,6077900
"185","JAMMU & KASHMIR",2006,10143700
"186","JHARKHAND",2006,26945829
"187","KARNATAKA",2006,52850562
"188","KERALA",2006,31841374
"189","LAKSHADWEEP",2006,60650
"190","MADHYA PRADESH",2006,60348023
"191","MAHARASHTRA",2006,96878627
"192","MANIPUR",2006,2166788
"193","MEGHALAYA",2006,2318822
"194","MIZORAM",2006,888573
"195","NAGALAND",2006,1990036
"196","DELHI",2006,13850507
"197","ODISHA",2006,36804660
"198","PUDUCHERRY",2006,974345
"199","PUNJAB",2006,24358999
"200","RAJASTHAN",2006,56507188
"201","SIKKIM",2006,540851
"202","TAMIL NADU",2006,62405679
"203","TRIPURA",2006,3199203
"204","UTTAR PRADESH",2006,166197921
"205","WEST BENGAL",2006,80176197
"206","ANDAMAN & NICOBAR ISLANDS",2007,356152
"207","ANDHRA PRADESH",2007,76210007
"208","ARUNACHAL PRADESH",2007,1097968
"209","ASSAM",2007,26655528
"210","BIHAR",2007,82998509
"211","CHANDIGARH",2007,900635
"212","CHHATTISGARH",2007,20833803
"213","DADRA & NAGAR HAVELI",2007,220490
"214","DAMAN & DIU",2007,158204
"215","GOA",2007,1347668
"216","GUJARAT",2007,50671017
"217","HARYANA",2007,21144564
"218","HIMACHAL PRADESH",2007,6077900
"219","JAMMU & KASHMIR",2007,10143700
"220","JHARKHAND",2007,26945829
"221","KARNATAKA",2007,52850562
"222","KERALA",2007,31841374
"223","LAKSHADWEEP",2007,60650
"224","MADHYA PRADESH",2007,60348023
"225","MAHARASHTRA",2007,96878627
"226","MANIPUR",2007,2166788
"227","MEGHALAYA",2007,2318822
"228","MIZORAM",2007,888573
"229","NAGALAND",2007,1990036
"230","DELHI",2007,13850507
"231","ODISHA",2007,36804660
"232","PUDUCHERRY",2007,974345
"233","PUNJAB",2007,24358999
"234","RAJASTHAN",2007,56507188
"235","SIKKIM",2007,540851
"236","TAMIL NADU",2007,62405679
"237","TRIPURA",2007,3199203
"238","UTTAR PRADESH",2007,166197921
"239","WEST BENGAL",2007,80176197
"240","ANDAMAN & NICOBAR ISLANDS",2008,356152
"241","ANDHRA PRADESH",2008,76210007
"242","ARUNACHAL PRADESH",2008,1097968
"243","ASSAM",2008,26655528
"244","BIHAR",2008,82998509
"245","CHANDIGARH",2008,900635
"246","CHHATTISGARH",2008,20833803
"247","DADRA & NAGAR HAVELI",2008,220490
"248","DAMAN & DIU",2008,158204
"249","GOA",2008,1347668
"250","GUJARAT",2008,50671017
"251","HARYANA",2008,21144564
"252","HIMACHAL PRADESH",2008,6077900
"253","JAMMU & KASHMIR",2008,10143700
"254","JHARKHAND",2008,26945829
"255","KARNATAKA",2008,52850562
"256","KERALA",2008,31841374
"257","LAKSHADWEEP",2008,60650
"258","MADHYA PRADESH",2008,60348023
"259","MAHARASHTRA",2008,96878627
"260","MANIPUR",2008,2166788
"261","MEGHALAYA",2008,2318822
"262","MIZORAM",2008,888573
"263","NAGALAND",2008,1990036
"264","DELHI",2008,13850507
"265","ODISHA",2008,36804660
"266","PUDUCHERRY",2008,974345
"267","PUNJAB",2008,24358999
"268","RAJASTHAN",2008,56507188
"269","SIKKIM",2008,540851
"270","TAMIL NADU",2008,62405679
"271","TRIPURA",2008,3199203
"272","UTTAR PRADESH",2008,166197921
"273","WEST BENGAL",2008,80176197
"274","ANDAMAN & NICOBAR ISLANDS",2009,356152
"275","ANDHRA PRADESH",2009,76210007
"276","ARUNACHAL PRADESH",2009,1097968
"277","ASSAM",2009,26655528
"278","BIHAR",2009,82998509
"279","CHANDIGARH",2009,900635
"280","CHHATTISGARH",2009,20833803
"281","DADRA & NAGAR HAVELI",2009,220490
"282","DAMAN & DIU",2009,158204
"283","GOA",2009,1347668
"284","GUJARAT",2009,50671017
"285","HARYANA",2009,21144564
"286","HIMACHAL PRADESH",2009,6077900
"287","JAMMU & KASHMIR",2009,10143700
"288","JHARKHAND",2009,26945829
"289","KARNATAKA",2009,52850562
"290","KERALA",2009,31841374
"291","LAKSHADWEEP",2009,60650
"292","MADHYA PRADESH",2009,60348023
"293","MAHARASHTRA",2009,96878627
"294","MANIPUR",2009,2166788
"295","MEGHALAYA",2009,2318822
"296","MIZORAM",2009,888573
"297","NAGALAND",2009,1990036
"298","DELHI",2009,13850507
"299","ODISHA",2009,36804660
"300","PUDUCHERRY",2009,974345
"301","PUNJAB",2009,24358999
"302","RAJASTHAN",2009,56507188
"303","SIKKIM",2009,540851
"304","TAMIL NADU",2009,62405679
"305","TRIPURA",2009,3199203
"306","UTTAR PRADESH",2009,166197921
"307","WEST BENGAL",2009,80176197
"308","ANDAMAN & NICOBAR ISLANDS",2010,356152
"309","ANDHRA PRADESH",2010,76210007
"310","ARUNACHAL PRADESH",2010,1097968
"311","ASSAM",2010,26655528
"312","BIHAR",2010,82998509
"313","CHANDIGARH",2010,900635
"314","CHHATTISGARH",2010,20833803
"315","DADRA & NAGAR HAVELI",2010,220490
"316","DAMAN & DIU",2010,158204
"317","GOA",2010,1347668
"318","GUJARAT",2010,50671017
"319","HARYANA",2010,21144564
"320","HIMACHAL PRADESH",2010,6077900
"321","JAMMU & KASHMIR",2010,10143700
"322","JHARKHAND",2010,26945829
"323","KARNATAKA",2010,52850562
"324","KERALA",2010,31841374
"325","LAKSHADWEEP",2010,60650
"326","MADHYA PRADESH",2010,60348023
"327","MAHARASHTRA",2010,96878627
"328","MANIPUR",2010,2166788
"329","MEGHALAYA",2010,2318822
"330","MIZORAM",2010,888573
"331","NAGALAND",2010,1990036
"332","DELHI",2010,13850507
"333","ODISHA",2010,36804660
"334","PUDUCHERRY",2010,974345
"335","PUNJAB",2010,24358999
"336","RAJASTHAN",2010,56507188
"337","SIKKIM",2010,540851
"338","TAMIL NADU",2010,62405679
"339","TRIPURA",2010,3199203
"340","UTTAR PRADESH",2010,166197921
"341","WEST BENGAL",2010,80176197
"342","WEST BENGAL",2011,91276115
"343","UTTARAKHAND",2011,10086292
"344","UTTAR PRADESH",2011,199812341
"345","TRIPURA",2011,3673917
"346","TAMIL NADU",2011,72147030
"347","SIKKIM",2011,610577
"348","RAJASTHAN",2011,68548437
"349","PUNJAB",2011,27743338
"350","PUDUCHERRY",2011,1247953
"351","ODISHA",2011,41974218
"352","DELHI",2011,16787941
"353","NAGALAND",2011,1978502
"354","MIZORAM",2011,1097206
"355","MEGHALAYA",2011,2966889
"356","MANIPUR",2011,2855794
"357","MAHARASHTRA",2011,112374333
"358","MADHYA PRADESH",2011,72626809
"359","LAKSHADWEEP",2011,64473
"360","KERALA",2011,33406061
"361","KARNATAKA",2011,61095297
"362","JHARKHAND",2011,32988134
"363","JAMMU & KASHMIR",2011,12541302
"364","HIMACHAL PRADESH",2011,6864602
"365","HARYANA",2011,25351462
"366","GUJARAT",2011,60439692
"367","GOA",2011,1458545
"368","DAMAN & DIU",2011,243247
"369","DADRA & NAGAR HAVELI",2011,343709
"370","CHHATTISGARH",2011,25545198
"371","CHANDIGARH",2011,1055450
"372","BIHAR",2011,104099452
"373","ASSAM",2011,31205576
"374","ARUNACHAL PRADESH",2011,1383727
"375","ANDHRA PRADESH",2011,84580777
"376","ANDAMAN & NICOBAR ISLANDS",2011,380581
"377","ANDHRA PRADESH",2012,84580777
"378","ARUNACHAL PRADESH",2012,1383727
"379","ASSAM",2012,31205576
"380","BIHAR",2012,104099452
"381","CHANDIGARH",2012,1055450
"382","CHHATTISGARH",2012,25545198
"383","DADRA & NAGAR HAVELI",2012,343709
"384","DAMAN & DIU",2012,243247
"385","GOA",2012,1458545
"386","GUJARAT",2012,60439692
"387","HARYANA",2012,25351462
"388","HIMACHAL PRADESH",2012,6864602
"389","JAMMU & KASHMIR",2012,12541302
"390","JHARKHAND",2012,32988134
"391","KARNATAKA",2012,61095297
"392","KERALA",2012,33406061
"393","LAKSHADWEEP",2012,64473
"394","MADHYA PRADESH",2012,72626809
"395","MAHARASHTRA",2012,112374333
"396","MANIPUR",2012,2855794
"397","MEGHALAYA",2012,2966889
"398","MIZORAM",2012,1097206
"399","NAGALAND",2012,1978502
"400","DELHI",2012,16787941
"401","ODISHA",2012,41974218
"402","PUDUCHERRY",2012,1247953
"403","PUNJAB",2012,27743338
"404","RAJASTHAN",2012,68548437
"405","SIKKIM",2012,610577
"406","TAMIL NADU",2012,72147030
"407","TRIPURA",2012,3673917
"408","UTTAR PRADESH",2012,199812341
"409","UTTARAKHAND",2012,10086292
"410","WEST BENGAL",2012,91276115
